count,old_condition,new_condition,new_subset
1928,,,
203,thinking,thinking,
128,non-thinking,non-thinking,
112,5-shot,5-shot,
74,Acc.,Acc.,
66,French; non-thinking,non-thinking,French
66,Portuguese; non-thinking,non-thinking,Portuguese
66,Spanish; non-thinking,non-thinking,Spanish
60,French; thinking,thinking,French
60,Portuguese; thinking,thinking,Portuguese
60,Spanish; thinking,thinking,Spanish
55,Arabic; non-thinking,non-thinking,Arabic
55,Italian; non-thinking,non-thinking,Italian
55,Japanese; non-thinking,non-thinking,Japanese
55,Korean; non-thinking,non-thinking,Korean
52,MATH-500,,MATH-500
50,Arabic; thinking,thinking,Arabic
50,Italian; thinking,thinking,Italian
50,Japanese; thinking,thinking,Japanese
50,Korean; thinking,thinking,Korean
50,v5,v5,
48,extended thinking,extended thinking,
44,German; non-thinking,non-thinking,German
44,Indonesian; non-thinking,non-thinking,Indonesian
44,Russian; non-thinking,non-thinking,Russian
44,Vietnamese; non-thinking,non-thinking,Vietnamese
43,0-shot,0-shot,
43,14 languages,,14 languages
43,2024-11-25,2024-11-25,
43,strict prompt,strict prompt,
43,v3,v3,
42,visual-only,,visual-only
40,German; thinking,thinking,German
40,Indonesian; thinking,thinking,Indonesian
40,Russian; thinking,thinking,Russian
40,Vietnamese; thinking,thinking,Vietnamese
40,main,main,
38,Pass@1,Pass@1,
36,3-shot,3-shot,
35,audio+visual,,audio+visual
33,Rating / Percentile,Rating / Percentile,
33,Thai; non-thinking,non-thinking,Thai
30,Thai; thinking,thinking,Thai
30,multi-turn,multi-turn,
24,128k,,128k
24,image input,,image input
24,k=10,k=10,
24,with tools,with tools,
21,Avg@4,Avg@4,
21,EM,EM,
21,no tools,no tools,
20,8-shot,8-shot,
20,Easy,,Easy
20,best-of-30,best-of-30,
20,overall,,overall
18,no browsing,no browsing,
17,Medium,,Medium
16,4-shot,4-shot,
16,high,high,
15,1M,,1M
15,single attempt,single attempt,
15,total,,total
15,vs Gemini 1.5 Flash 002,,vs Gemini 1.5 Flash 002
14,Arabic,,Arabic
14,Avg@64,Avg@64,
14,Chinese,,Chinese
14,English,,English
14,French,,French
14,Hard,,Hard
14,Korean,,Korean
14,Russian,,Russian
14,no browsing launch candidate,no browsing launch candidate,
14,visual+subtitles,,visual+subtitles
13,Average,,Average
13,without tools,without tools,
12,1-Hallu.,1-Hallu.,
12,1-shot,1-shot,
12,End-to-End,,End-to-End
12,Protocol Design,,Protocol Design
12,browsing enabled,browsing enabled,
12,kshots=10,kshots=10,
12,public system prompt; no extended thinking,public system prompt; no extended thinking,
12,thinking; browsing enabled,thinking; browsing enabled,
12,with thinking,with thinking,
12,without thinking,without thinking,
10,extended thinking; k=1,extended thinking; k=1,
10,extended thinking; k=10,extended thinking; k=10,
10,extended thinking; k=100,extended thinking; k=100,
9,33 lang,,33 lang
9,Afro-Asiatic,,Afro-Asiatic
9,Austroasiatic,,Austroasiatic
9,Austronesian,,Austronesian
9,COT,COT,
9,Code,,Code
9,Dravidian,,Dravidian
9,Indo-European,,Indo-European
9,Logic,,Logic
9,Math,,Math
9,Objective QA,,Objective QA
9,Other,,Other
9,Overall,,Overall
9,Python tools,Python tools,
9,Sequence Design,,Sequence Design
9,Sino-Tibetan,,Sino-Tibetan
9,Stage 3 Thinking Mode Fusion; non-thinking,Stage 3 Thinking Mode Fusion; non-thinking,
9,Stage 4 General RL; non-thinking,Stage 4 General RL; non-thinking,
9,Subjective QA,,Subjective QA
9,Tai-Kadai,,Tai-Kadai
9,Text Generation,,Text Generation
9,Text Processing,,Text Processing
9,Turkic,,Turkic
9,Uralic,,Uralic
9,browsing,browsing,
9,browsing disabled,browsing disabled,
9,multiple attempts,multiple attempts,
9,single-turn benign,single-turn benign,
9,single-turn violative,single-turn violative,
9,thinking; browsing disabled,thinking; browsing disabled,
8,2-shot,2-shot,
8,21 lang,,21 lang
8,25-shot,25-shot,
8,Stage 2 Reasoning RL; thinking,Stage 2 Reasoning RL; thinking,
8,Stage 3 Thinking Mode Fusion; thinking,Stage 3 Thinking Mode Fusion; thinking,
8,Stage 4 General RL; thinking,Stage 4 General RL; thinking,
8,default,default,
8,k=1,k=1,
8,k=100,k=100,
8,no mitigations,no mitigations,
8,pass@1,pass@1,
8,reward-hack-prone coding tasks,,reward-hack-prone coding tasks
8,standard thinking,standard thinking,
8,thinking; browsing launch candidate,thinking; browsing launch candidate,
8,with mitigations,with mitigations,
7,500 Acc.,500 Acc.,
7,Agentless Single-Patch Pass@1,Agentless Single-Patch Pass@1,
7,Avg@16,Avg@16,
7,Avg@32,Avg@32,
7,Avg@8,Avg@8,
7,Correct,Correct,
7,Ethics & Morality,,Ethics & Morality
7,Hack the Box (hard),,Hack the Box (hard)
7,Illegal Activities,,Illegal Activities
